2025-09-29T08:50:20.826Z | GET /api-docs/swagger-ui-init.js
2025-09-29T08:50:21.325Z | GET /api-docs/favicon-32x32.png
2025-09-29T09:07:58.090Z | GET /courses
2025-09-29T09:08:44.268Z | GET /courses/analytics
2025-09-29T09:09:11.203Z | GET /courses/recommendations-async
2025-09-29T09:55:28.447Z | POST /courses/5/enroll
2025-09-29T09:55:42.113Z | POST /courses/2/enroll
2025-09-30T04:58:03.181Z | GET /api-docs/
2025-09-30T04:58:03.357Z | GET /api-docs/swagger-ui.css
2025-09-30T04:58:03.366Z | GET /api-docs/swagger-ui-bundle.js
2025-09-30T04:58:03.375Z | GET /api-docs/swagger-ui-standalone-preset.js
2025-09-30T04:58:03.385Z | GET /api-docs/swagger-ui-init.js
2025-09-30T05:04:48.846Z | GET /courses
[ERROR] 2025-09-30T05:04:48.852Z | Course.getAll is not a function
2025-09-30T14:52:56.142Z | GET /
2025-10-05T11:43:28.191Z | GET /courses
2025-10-05T11:43:36.016Z | GET /courses
2025-10-05T11:43:42.858Z | GET /courses
2025-10-05T11:43:58.881Z | GET /courses
2025-10-05T11:45:45.531Z | GET /courses
2025-10-05T11:45:54.308Z | GET /courses
2025-10-05T11:46:01.636Z | GET /courses
2025-10-05T11:46:04.308Z | GET /courses
2025-10-05T11:46:28.651Z | GET /courses
2025-10-05T11:46:41.158Z | GET /courses
2025-10-05T11:46:52.564Z | GET /courses
2025-10-05T11:47:01.887Z | GET /courses
2025-10-05T11:48:30.185Z | GET /courses
2025-10-05T11:48:38.136Z | GET /courses
2025-10-05T11:48:39.934Z | GET /courses
2025-10-05T11:48:43.103Z | POST /courses/1/enroll
2025-10-05T11:48:45.776Z | POST /courses/1/enroll
2025-10-05T11:49:03.540Z | GET /courses
2025-10-05T11:49:05.214Z | POST /courses/2/enroll
2025-10-05T11:49:10.729Z | POST /courses/3/enroll
2025-10-05T11:50:06.981Z | GET /courses
2025-10-05T11:50:09.325Z | GET /courses
2025-10-05T11:50:10.999Z | POST /courses/1/enroll
2025-10-05T11:51:24.348Z | GET /courses
2025-10-05T11:51:26.511Z | GET /courses
